date,ticker,gap,entry,exit_price,reason,exit_time,ret,action,data
2026-05-01,ESPR,0.565,3.1301,3.1134,TIME(10:00),2026-05-01 09:55:00,-0.0053,TRADE,5m
2026-05-04,GBTG,0.5691,9.305,9.37,TIME(10:00),2026-05-04 09:55:00,0.007,TRADE,5m
2026-05-05,CLRB,0.5936,4.505,4.07,TIME(10:00),2026-05-05 09:55:00,-0.0966,TRADE,5m
2026-05-06,AHMA,0.6,1.76,1.52,TIME(10:00),2026-05-06 09:55:00,-0.1364,TRADE,5m
2026-05-07,RMSG,0.2879,1.7,1.5666,TIME(10:00),2026-05-07 09:55:00,-0.0785,TRADE,5m
2026-05-08,WEST,0.1644,6.89,8.215,TIME(10:00),2026-05-08 09:55:00,0.1923,TRADE,5m
2026-05-11,DKI,14.5357,,,FILTER_SKIP,,0.0,NO TRADE (gap>=200%),-
2026-05-12,CNCK,0.3686,2.3296,2.24,TIME(10:00),2026-05-12 09:55:00,-0.0385,TRADE,5m
2026-05-13,FCHL,0.3985,1.86,2.2001,TIME(10:00),2026-05-13 09:55:00,0.1828,TRADE,5m
2026-05-14,YOOV,1.0346,1.42,1.136,SL,2026-05-14 09:35:00,-0.2,TRADE,5m
2026-05-15,AUUD,0.7131,2.09,2.06,TIME(10:00),2026-05-15 09:55:00,-0.0144,TRADE,5m
2026-05-18,HCAI,0.6318,9.04,9.01,TIME(10:00),2026-05-18 09:59:00,-0.0033,TRADE,1m
2026-05-19,RUBI,1.0289,3.52,2.816,SL,2026-05-19 09:32:00,-0.2,TRADE,1m
2026-05-20,PETZ,0.321,1.075,1.1597,TIME(10:00),2026-05-20 09:59:00,0.0788,TRADE,1m
2026-05-21,NIVF,0.4073,1.05,1.34,TIME(10:00),2026-05-21 09:59:00,0.2762,TRADE,1m
2026-05-22,BIYA,0.8204,1.125,1.1803,TIME(10:00),2026-05-22 09:59:00,0.0492,TRADE,1m
2026-05-26,QTEX,1.1458,1.565,1.3694,TIME(10:00),2026-05-26 09:59:00,-0.125,TRADE,1m
2026-05-27,AMSS,1.0978,7.565,7.18,TIME(10:00),2026-05-27 09:59:00,-0.0509,TRADE,1m
2026-05-28,ATPC,1.0246,5.815,5.93,TIME(10:00),2026-05-28 09:59:00,0.0198,TRADE,1m
2026-05-29,PRFX,2.4599,,,FILTER_SKIP,,0.0,NO TRADE (gap>=200%),-
2026-06-01,HKIT,1.1884,3.195,4.473,TP,2026-06-01 09:55:00,0.4,TRADE,1m
2026-06-02,DXST,0.8562,2.984,4.1776,TP,2026-06-02 09:39:00,0.4,TRADE,1m
2026-06-03,SDOT,0.8537,6.0925,7.34,TIME(10:00),2026-06-03 09:52:00,0.2048,TRADE,1m
2026-06-04,TWAV,0.5775,2.23,2.22,TIME(10:00),2026-06-04 09:59:00,-0.0045,TRADE,1m
2026-06-05,RMSG,1.9682,3.27,2.825,TIME(10:00),2026-06-05 09:59:00,-0.1361,TRADE,1m
2026-06-08,GMHS,0.5708,1.475,1.325,TIME(10:00),2026-06-08 09:59:00,-0.1017,TRADE,1m
2026-06-09,CHAI,3.3537,,,FILTER_SKIP,,0.0,NO TRADE (gap>=200%),-
2026-06-10,VSME,3.4957,,,FILTER_SKIP,,0.0,NO TRADE (gap>=200%),-
2026-06-11,GLXG,1.6127,2.55,3.57,TP,2026-06-11 09:47:00,0.4,TRADE,1m
2026-06-12,DSY,0.7732,6.885,5.508,SL,2026-06-12 09:47:00,-0.2,TRADE,1m
